Tipo Titulo;Vencimento do Titulo;Data Resgate;PU;Quantidade;Valor
Tesouro IGPM+ com Juros Semestrais;2005/12/01 00:00:00.000;2005/12/01 00:00:00.000;1823,358458;40179,8;73262178,17
Tesouro Prefixado;2005/07/01 00:00:00.000;2005/07/01 00:00:00.000;1000,0;40151,4;40151400,0
Tesouro Selic;2006/01/18 00:00:00.000;2006/01/18 00:00:00.000;2595,140243;11854,6;30764349,53
Tesouro IPCA+ com Juros Semestrais;2007/05/15 00:00:00.000;2007/05/15 00:00:00.000;1644,040083;13546,4;22270824,58
Tesouro IGPM+ com Juros Semestrais;2006/12/01 00:00:00.000;2006/12/01 00:00:00.000;1887,104411;106,2;200410,48
Tesouro Prefixado;2007/10/01 00:00:00.000;2007/10/01 00:00:00.000;1000,0;42722,8;42722800,0
Tesouro Prefixado;2007/07/01 00:00:00.000;2007/07/02 00:00:00.000;1000,0;60329,0;60329000,0
Tesouro Prefixado;2008/07/01 00:00:00.000;2008/07/01 00:00:00.000;1000,0;74035,0;74035000,0
Tesouro IGPM+ com Juros Semestrais;2008/04/01 00:00:00.000;2008/04/01 00:00:00.000;2088,388799;8009,2;16726323,57
Tesouro Prefixado;2009/07/01 00:00:00.000;2009/07/01 00:00:00.000;1000,0;99923,6;99923600,0
Tesouro Selic;2010/03/17 00:00:00.000;2010/03/17 00:00:00.000;4166,909971;18665,2;77776207,99
Tesouro Prefixado com Juros Semestrais;2010/01/01 00:00:00.000;2010/01/04 00:00:00.000;1000,0;44490,4;44490400,0
Tesouro Prefixado com Juros Semestrais;2011/01/01 00:00:00.000;2011/01/03 00:00:00.000;1000,0;29898,4;29898400,0
Tesouro Prefixado com Juros Semestrais;2010/07/01 00:00:00.000;2010/07/01 00:00:00.000;1000,0;38827,8;38827800,0
Tesouro Prefixado com Juros Semestrais;2012/01/01 00:00:00.000;2012/01/02 00:00:00.000;1000,0;38249,8;38249800,0
Tesouro Prefixado;2011/07/01 00:00:00.000;2011/07/01 00:00:00.000;1000,0;56030,2;56030200,0
Tesouro Prefixado com Juros Semestrais;2013/01/01 00:00:00.000;2013/01/02 00:00:00.000;1000,0;14512,24;14512240,0
Tesouro Prefixado;2014/01/01 00:00:00.000;2014/01/02 00:00:00.000;1000,0;338098,74;338098740,0
Tesouro IPCA+;2015/05/15 00:00:00.000;2015/05/15 00:00:00.000;2629,219259;783277,77;2059408998,03
Tesouro Prefixado;2015/01/01 00:00:00.000;2015/01/02 00:00:00.000;1000,0;519620,66;519620660,0
Tesouro Prefixado com Juros Semestrais;2017/01/01 00:00:00.000;2017/01/02 00:00:00.000;1000,0;192360,12;192360120,0
Tesouro IGPM+ com Juros Semestrais;2017/07/01 00:00:00.000;2017/07/03 00:00:00.000;3528,852485;5698,66;20109730,5
Tesouro Selic;2005/02/16 00:00:00.000;2005/02/16 00:00:00.000;2205,900143;8632,4;19042212,39
